Gênero,Idade,Escolaridade,Estado Civil,Renda,Frequência no Consumo,Benefícios da Mentoria,Meta Melhora o Progresso,Variedade Melhora a Experiência,Primeira Compra,Formato do Infoproduto,Área mais Consumida,Satisfação com o Produto,Disposição Financeira,Influência na Compra,Primeiro Contato,Motivação para Compra,Percepção da Experiência com o Produto,Indicaria o Produto
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",3,5,5,5,Depois da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Saúde,3,"Entre R$ 100,00 e R$ 200,00",Avaliações e depoimentos de clientes,Recomendação de amigos ou colegas,Desenvolvimento de habilidades técnicas,3,3
Masculino,35-44 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",4,4,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,4,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)",Recomendação de amigos ou colegas,"Preparação para exames, concursos ou certificações",4,4
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,4,5,Durante a pandemia,"Visual: Infográficos, figuras, página de vendas, site, Template e planilha",Educação,4,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,"Pesquisa em mecanismos de busca, como o Google",Facilidade de aprendizado online,4,4
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",2,3,4,3,Durante a pandemia,Texto: PDF e E-book,Educação,4,"Entre R$ 50,00 e R$ 100,00.",Conteúdo gratuito oferecido pelo produtor,"Por meio de anúncios online, como no Facebook ou Google Ads",Mudar de Carreira (aprender uma nova profissão),4,3
Masculino,25-34 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",2,3,4,4,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 100,00 e R$ 200,00",Avaliações e depoimentos de clientes,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Facilidade de aprendizado online,4,4
Masculino,18-24 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",1,3,5,4,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,3,"Entre R$ 100,00 e R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Mudar de Carreira (aprender uma nova profissão),3,3
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",2,3,3,3,Durante a pandemia,"Visual: Infográficos, figuras, página de vendas, site, Template e planilha",Desenvolvimento Pessoal,3,"Entre R$ 50,00 e R$ 100,00.",Conteúdo do infoproduto (tema/relevância),Recomendação de amigos ou colegas,"Preparação para exames, concursos ou certificações",3,3
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 3.636,00 até R$ 6.000",2,5,1,5,Depois da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,5,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio de anúncios online, como no Facebook ou Google Ads",Ganhos financeiros,5,5
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",5,5,3,3,Depois da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Saúde,3,"Acima de R$ 200,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,"Preparação para exames, concursos ou certificações",5,5
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",3,5,4,5,Ainda não comprei,Texto: PDF e E-book,Educação,3,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,3,3
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,3,5,5,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Finanças,4,"Entre R$ 100,00 e R$ 200,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Facilidade de aprendizado online,4,4
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",5,5,5,5,Antes da pandemia,Texto: PDF e E-book,Educação,4,"Acima de R$ 200,00",Conteúdo do infoproduto (tema/relevância),Recomendação de amigos ou colegas,Desenvolvimento de habilidades técnicas,5,4
Masculino,25-34 anos,Pós-Graduação,Outros,"Acima de R$ 1.212 até R$ 3.636,00",5,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Acima de R$ 200,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Flexibilidade de horário de estudo,5,5
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,3,4,5,Antes da pandemia,Texto: PDF e E-book,Finanças,4,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,4
Feminino,18-24 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",3,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Facilidade de aprendizado online,5,5
Masculino,25-34 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,3,3,3,Depois da pandemia,Texto: PDF e E-book,Educação,2,"Acima de R$ 200,00",Recomendações de amigos/familiares,"Por meio de anúncios online, como no Facebook ou Google Ads",Mudar de Carreira (aprender uma nova profissão),2,2
Feminino,35-44 anos,Ensino Superior,Solteiro(a),Acima de R$ 6.000,2,2,2,3,Antes da pandemia,Texto: PDF e E-book,Educação,2,"Menos de R$ 50,00",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Solução para um problema específico,2,1
Feminino,18-24 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",2,4,4,4,Durante a pandemia,Texto: PDF e E-book,Educação,4,"Entre R$ 50,00 e R$ 100,00.",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,4
Masculino,25-34 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,5,5,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,4,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,"Preparação para exames, concursos ou certificações",4,4
Masculino,25-34 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",5,4,2,5,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,3,"Acima de R$ 200,00",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Realização de objetivos de vida,4,4
Feminino,18-24 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",4,3,3,5,Antes da pandemia,Texto: PDF e E-book,Desenvolvimento Pessoal,4,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,"Pesquisa em mecanismos de busca, como o Google","Preparação para exames, concursos ou certificações",3,3
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",2,3,5,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,Recomendação de amigos ou colegas,Flexibilidade de horário de estudo,4,4
Masculino,35-44 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,5,5,5,Antes da pandemia,Áudio: Áudiobook e podcast,Educação,4,"Acima de R$ 200,00",Conteúdo gratuito oferecido pelo produtor,"Por meio de anúncios online, como no Facebook ou Google Ads",Aquisição de conhecimento específico,4,4
Feminino,25-34 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",3,5,5,5,Antes da pandemia,Texto: PDF e E-book,Saúde,4,"Menos de R$ 50,00",Avaliações e depoimentos de clientes,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Flexibilidade de horário de estudo,4,5
Masculino,25-34 anos,Pós-Graduação,Outros,"Acima de R$ 3.636,00 até R$ 6.000",4,3,4,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,4,"Acima de R$ 200,00",Avaliações e depoimentos de clientes,"Pesquisa em mecanismos de busca, como o Google",Desenvolvimento de habilidades técnicas,4,4
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",1,2,4,4,Durante a pandemia,Texto: PDF e E-book,Saúde,3,"Entre R$ 50,00 e R$ 100,00.",Preço,Recomendação de amigos ou colegas,Realização de objetivos de vida,3,3
Masculino,25-34 anos,Pós-Graduação,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,4,4,5,Antes da pandemia,Texto: PDF e E-book,Saúde,4,"Entre R$ 100,00 e R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)",Recomendação de amigos ou colegas,Aquisição de conhecimento específico,4,4
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,4,4,Durante a pandemia,Texto: PDF e E-book,Desenvolvimento Pessoal,4,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Aquisição de conhecimento específico,4,4
Masculino,45 anos ou mais,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",1,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,3,"Menos de R$ 50,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Ganhos financeiros,3,3
Feminino,25-34 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Saúde,4,"Entre R$ 50,00 e R$ 100,00.",Preço,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Flexibilidade de horário de estudo,4,4
Feminino,45 anos ou mais,Ensino Superior,Casado(a),"Acima de R$ 3.636,00 até R$ 6.000",1,5,3,3,Ainda não comprei,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)",Recomendação de amigos ou colegas,Aquisição de conhecimento específico,5,4
Masculino,25-34 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",1,4,4,5,Ainda não comprei,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,1,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,"Pesquisa em mecanismos de busca, como o Google",Indicação de colegas ou amigos,2,3
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",5,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Acima de R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Mudar de Carreira (aprender uma nova profissão),5,5
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,3,5,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Aquisição de conhecimento específico,4,4
Masculino,18-24 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",5,4,3,5,Antes da pandemia,"Visual: Infográficos, figuras, página de vendas, site, Template e planilha",Educação,5,"Entre R$ 100,00 e R$ 200,00",Conteúdo do infoproduto (tema/relevância),"Pesquisa em mecanismos de busca, como o Google",Mudar de Carreira (aprender uma nova profissão),5,3
Masculino,25-34 anos,Pós-Graduação,Casado(a),Acima de R$ 6.000,5,5,5,5,Antes da pandemia,Texto: PDF e E-book,Educação,5,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Desenvolvimento de habilidades técnicas,5,5
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,4,5,2,Depois da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,4,"Entre R$ 50,00 e R$ 100,00.","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,3
Feminino,25-34 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",5,4,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,"Pesquisa em mecanismos de busca, como o Google",Realização de objetivos de vida,5,5
Masculino,25-34 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",5,3,4,5,Durante a pandemia,Texto: PDF e E-book,Desenvolvimento Pessoal,4,"Entre R$ 50,00 e R$ 100,00.",Conteúdo do infoproduto (tema/relevância),"Pesquisa em mecanismos de busca, como o Google",Facilidade de aprendizado online,4,3
Masculino,45 anos ou mais,Ensino Fundamental,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",1,4,4,4,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,3,"Menos de R$ 50,00",Recomendações de amigos/familiares,"Por meio de anúncios online, como no Facebook ou Google Ads",Mudar de Carreira (aprender uma nova profissão),5,4
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",1,5,5,5,Ainda não comprei,Texto: PDF e E-book,Educação,5,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Ganhos financeiros,5,5
Feminino,35-44 anos,Ensino Médio,Casado(a),"Até R$ 1.212,00",2,3,3,3,Antes da pandemia,"Visual: Infográficos, figuras, página de vendas, site, Template e planilha",Finanças,3,"Entre R$ 50,00 e R$ 100,00.",Recomendações de amigos/familiares,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Ganhos financeiros,3,3
Feminino,35-44 anos,Ensino Superior,Solteiro(a),Acima de R$ 6.000,2,2,4,3,Antes da pandemia,Texto: PDF e E-book,Educação,4,"Entre R$ 50,00 e R$ 100,00.",Conteúdo do infoproduto (tema/relevância),Recomendação de amigos ou colegas,Aquisição de conhecimento específico,4,4
Feminino,25-34 anos,Ensino Superior,Solteiro(a),"Até R$ 1.212,00",5,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,5,"Acima de R$ 200,00",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Mudar de Carreira (aprender uma nova profissão),5,5
Masculino,18-24 anos,Ensino Médio,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,3,4,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Saúde,4,"Menos de R$ 50,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,Aquisição de conhecimento específico,3,3
Feminino,18-24 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",3,3,4,4,Ainda não comprei,Texto: PDF e E-book,Educação,4,"Entre R$ 50,00 e R$ 100,00.",Avaliações e depoimentos de clientes,Recomendação de amigos ou colegas,Aquisição de conhecimento específico,4,4
Feminino,25-34 anos,Ensino Superior,Solteiro(a),"Acima de R$ 1.212 até R$ 3.636,00",4,4,3,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,4,"Entre R$ 100,00 e R$ 200,00","Qualidade da apresentação (vídeo, áudio, design, etc.)","Por meio de anúncios online, como no Facebook ou Google Ads",Aquisição de conhecimento específico,4,3
Feminino,35-44 anos,Ensino Médio,Casado(a),"Até R$ 1.212,00",3,5,5,5,Antes da pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Desenvolvimento Pessoal,5,"Entre R$ 50,00 e R$ 100,00.",Conteúdo do infoproduto (tema/relevância),"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Desenvolvimento de habilidades técnicas,4,4
Feminino,18-24 anos,Ensino Médio,Solteiro(a),"Até R$ 1.212,00",2,4,3,4,Durante a pandemia,"Vídeo: Vídeo aulas, mentorias, screencasts , cursos e lives, Videocast , filmes ou documentários",Educação,2,"Menos de R$ 50,00",Recomendações de amigos/familiares,Recomendação de amigos ou colegas,"Preparação para exames, concursos ou certificações",2,2
Feminino,25-34 anos,Ensino Superior,Casado(a),"Acima de R$ 1.212 até R$ 3.636,00",4,3,2,4,Antes da pandemia,Texto: PDF e E-book,Finanças,4,"Entre R$ 100,00 e R$ 200,00",Preço,"Por meio das redes sociais, como Instagram, TikTok, YouTube ou Twitter",Aquisição de conhecimento específico,4,4
